invoice_no,date,workshop,vehicle_id,plate,make_model,odometer_km,kind,subtotal,vat,total,pdf_file
INV-37454589,2024-02-12,מוסך העיר (בדיקה),VH-14,18-316-82,Mazda 3,8870,routine,645.09,109.67,754.76,INV-37454589_VH-14.pdf
INV-70127706,2023-02-19,מוסך המרכז (בדיקה),VH-14,18-316-82,Mazda 3,10164,routine,489.41,83.2,572.61,INV-70127706_VH-14.pdf
INV-41541520,2023-11-06,מוסך המרכז (בדיקה),VH-14,18-316-82,Mazda 3,12842,routine,633.64,107.72,741.36,INV-41541520_VH-14.pdf
INV-10371293,2024-03-15,יואב חשמל ופנסים (בדיקה),VH-14,18-316-82,Mazda 3,14121,routine,673.85,114.55,788.4,INV-10371293_VH-14.pdf
INV-71361115,2023-05-04,עובד חלפים מקוריים (בדיקה),VH-14,18-316-82,Mazda 3,16477,routine,689.2,117.16,806.36,INV-71361115_VH-14.pdf
INV-89092753,2024-10-18,יואב חשמל ופנסים (בדיקה),VH-14,18-316-82,Mazda 3,17848,routine,868.12,147.58,1015.7,INV-89092753_VH-14.pdf
INV-21965652,2023-03-30,מוסך צי צפון (בדיקה),VH-14,18-316-82,Mazda 3,20566,tires,2470.42,419.97,2890.39,INV-21965652_VH-14.pdf
INV-43898364,2023-01-28,יואב חשמל ופנסים (בדיקה),VH-14,18-316-82,Mazda 3,23197,lights,510.91,86.85,597.76,INV-43898364_VH-14.pdf
INV-91805526,2023-09-04,עובד חלפים מקוריים (בדיקה),VH-14,18-316-82,Mazda 3,25205,spark_plugs,893.8,151.95,1045.75,INV-91805526_VH-14.pdf
INV-43006848,2023-01-18,יוסי צמיגים ופרונט (בדיקה),VH-15,60-758-68,Hyundai i10,5237,routine,896.68,152.44,1049.12,INV-43006848_VH-15.pdf
INV-41418328,2024-07-03,מוסך המרכז (בדיקה),VH-15,60-758-68,Hyundai i10,7295,routine,1016.41,172.79,1189.2,INV-41418328_VH-15.pdf
INV-63031617,2024-11-28,מוסך המרכז (בדיקה),VH-15,60-758-68,Hyundai i10,8441,routine,983.19,167.14,1150.33,INV-63031617_VH-15.pdf
INV-20275884,2023-06-29,מוסך המרכז (בדיקה),VH-15,60-758-68,Hyundai i10,9498,routine,612.19,104.07,716.26,INV-20275884_VH-15.pdf
INV-64814917,2023-05-01,עובד חלפים מקוריים (בדיקה),VH-15,60-758-68,Hyundai i10,11090,routine,596.65,101.43,698.08,INV-64814917_VH-15.pdf
INV-19138000,2023-06-20,מוסך העיר (בדיקה),VH-15,60-758-68,Hyundai i10,12387,routine,680.71,115.72,796.43,INV-19138000_VH-15.pdf
INV-63536541,2023-07-03,יואב חשמל ופנסים (בדיקה),VH-15,60-758-68,Hyundai i10,14340,routine,642.59,109.24,751.83,INV-63536541_VH-15.pdf
INV-06174451,2023-07-03,יוסי צמיגים ופרונט (בדיקה),VH-15,60-758-68,Hyundai i10,16710,routine,520.99,88.57,609.56,INV-06174451_VH-15.pdf
INV-75973832,2023-11-08,מוסך העיר (בדיקה),VH-15,60-758-68,Hyundai i10,18779,routine,708.23,120.4,828.63,INV-75973832_VH-15.pdf
INV-06413836,2023-01-10,יואב חשמל ופנסים (בדיקה),VH-15,60-758-68,Hyundai i10,21392,tires,2633.7,447.73,3081.43,INV-06413836_VH-15.pdf
INV-86571918,2023-08-26,יואב חשמל ופנסים (בדיקה),VH-15,60-758-68,Hyundai i10,23916,lights,274.27,46.63,320.9,INV-86571918_VH-15.pdf
INV-45655743,2023-05-14,עובד חלפים מקוריים (בדיקה),VH-15,60-758-68,Hyundai i10,25345,spark_plugs,738.31,125.51,863.82,INV-45655743_VH-15.pdf
INV-61853747,2023-06-18,יוסי צמיגים ופרונט (בדיקה),VH-16,81-651-43,Mazda 3,4552,routine,584.85,99.42,684.27,INV-61853747_VH-16.pdf
INV-03521356,2023-11-08,מוסך המרכז (בדיקה),VH-16,81-651-43,Mazda 3,7619,routine,805.62,136.96,942.58,INV-03521356_VH-16.pdf
INV-88317121,2023-02-01,יואב חשמל ופנסים (בדיקה),VH-16,81-651-43,Mazda 3,11052,routine,881.92,149.93,1031.85,INV-88317121_VH-16.pdf
INV-19941013,2023-07-22,יואב חשמל ופנסים (בדיקה),VH-16,81-651-43,Mazda 3,13366,routine,679.89,115.58,795.47,INV-19941013_VH-16.pdf
INV-02966706,2023-05-06,עובד חלפים מקוריים (בדיקה),VH-16,81-651-43,Mazda 3,17003,routine,550.82,93.64,644.46,INV-02966706_VH-16.pdf
INV-20999347,2023-10-09,יואב חשמל ופנסים (בדיקה),VH-16,81-651-43,Mazda 3,19488,routine,592.15,100.67,692.82,INV-20999347_VH-16.pdf
INV-83806578,2024-01-28,עובד חלפים מקוריים (בדיקה),VH-16,81-651-43,Mazda 3,21911,routine,657.36,111.75,769.11,INV-83806578_VH-16.pdf
INV-59304078,2024-02-02,עובד חלפים מקוריים (בדיקה),VH-16,81-651-43,Mazda 3,23778,routine,648.03,110.17,758.2,INV-59304078_VH-16.pdf
INV-03965223,2023-09-04,יוסי צמיגים ופרונט (בדיקה),VH-16,81-651-43,Mazda 3,25847,tires,2452.16,416.87,2869.03,INV-03965223_VH-16.pdf
INV-93784270,2024-08-04,עובד חלפים מקוריים (בדיקה),VH-16,81-651-43,Mazda 3,28605,lights,319.37,54.29,373.66,INV-93784270_VH-16.pdf
INV-93252500,2023-01-01,יוסי צמיגים ופרונט (בדיקה),VH-16,81-651-43,Mazda 3,30825,spark_plugs,711.06,120.88,831.94,INV-93252500_VH-16.pdf
INV-69154522,2024-01-09,מוסך העיר (בדיקה),VH-17,61-470-38,Hyundai i10,6634,routine,672.79,114.37,787.16,INV-69154522_VH-17.pdf
INV-89539264,2024-10-26,מוסך צי צפון (בדיקה),VH-17,61-470-38,Hyundai i10,8118,routine,666.47,113.3,779.77,INV-89539264_VH-17.pdf
INV-90295939,2024-08-09,יוסי צמיגים ופרונט (בדיקה),VH-17,61-470-38,Hyundai i10,10859,routine,643.61,109.41,753.02,INV-90295939_VH-17.pdf
INV-21570433,2023-09-01,יוסי צמיגים ופרונט (בדיקה),VH-17,61-470-38,Hyundai i10,13844,routine,882.88,150.09,1032.97,INV-21570433_VH-17.pdf
INV-62676586,2023-01-02,מוסך המרכז (בדיקה),VH-17,61-470-38,Hyundai i10,15721,routine,640.54,108.89,749.43,INV-62676586_VH-17.pdf
INV-04054115,2023-08-19,מוסך המרכז (בדיקה),VH-17,61-470-38,Hyundai i10,17720,routine,613.26,104.25,717.51,INV-04054115_VH-17.pdf
INV-97062962,2023-04-06,מוסך העיר (בדיקה),VH-17,61-470-38,Hyundai i10,19984,routine,859.84,146.17,1006.01,INV-97062962_VH-17.pdf
INV-84443106,2024-07-21,מוסך צי צפון (בדיקה),VH-17,61-470-38,Hyundai i10,22864,routine,770.76,131.03,901.79,INV-84443106_VH-17.pdf
INV-97310324,2023-10-29,יוסי צמיגים ופרונט (בדיקה),VH-17,61-470-38,Hyundai i10,25555,tires,2714.51,461.47,3175.98,INV-97310324_VH-17.pdf
INV-86256527,2023-09-29,מוסך העיר (בדיקה),VH-17,61-470-38,Hyundai i10,26885,lights,330.49,56.18,386.67,INV-86256527_VH-17.pdf
INV-11586938,2023-06-04,יוסי צמיגים ופרונט (בדיקה),VH-17,61-470-38,Hyundai i10,29443,spark_plugs,725.66,123.36,849.02,INV-11586938_VH-17.pdf
INV-74160898,2024-05-01,מוסך המרכז (בדיקה),VH-18,16-981-24,Hyundai i10,3290,routine,1018.68,173.18,1191.86,INV-74160898_VH-18.pdf
INV-23320616,2024-04-04,יוסי צמיגים ופרונט (בדיקה),VH-18,16-981-24,Hyundai i10,5950,routine,499.89,84.98,584.87,INV-23320616_VH-18.pdf
INV-11686854,2023-09-22,מוסך העיר (בדיקה),VH-18,16-981-24,Hyundai i10,8546,routine,608.07,103.37,711.44,INV-11686854_VH-18.pdf
INV-61622999,2024-09-30,מוסך המרכז (בדיקה),VH-18,16-981-24,Hyundai i10,10485,routine,1172.11,199.26,1371.37,INV-61622999_VH-18.pdf
INV-56467997,2023-04-14,מוסך העיר (בדיקה),VH-18,16-981-24,Hyundai i10,13007,routine,555.8,94.49,650.29,INV-56467997_VH-18.pdf
INV-65307450,2024-11-28,מוסך העיר (בדיקה),VH-18,16-981-24,Hyundai i10,14742,routine,811.24,137.91,949.15,INV-65307450_VH-18.pdf
INV-75469137,2023-04-11,מוסך צי צפון (בדיקה),VH-18,16-981-24,Hyundai i10,16025,routine,643.62,109.42,753.04,INV-75469137_VH-18.pdf
INV-21486289,2024-01-18,מוסך העיר (בדיקה),VH-18,16-981-24,Hyundai i10,17952,routine,608.59,103.46,712.05,INV-21486289_VH-18.pdf
INV-53457861,2023-09-13,יוסי צמיגים ופרונט (בדיקה),VH-18,16-981-24,Hyundai i10,19780,routine,619.77,105.36,725.13,INV-53457861_VH-18.pdf
INV-55241406,2023-07-01,מוסך צי צפון (בדיקה),VH-18,16-981-24,Hyundai i10,21828,routine,815.38,138.61,953.99,INV-55241406_VH-18.pdf
INV-46800722,2023-08-19,יוסי צמיגים ופרונט (בדיקה),VH-18,16-981-24,Hyundai i10,24030,tires,2115.63,359.66,2475.29,INV-46800722_VH-18.pdf
INV-65743748,2024-10-20,מוסך העיר (בדיקה),VH-18,16-981-24,Hyundai i10,25551,lights,423.26,71.95,495.21,INV-65743748_VH-18.pdf
INV-99441715,2024-01-19,יואב חשמל ופנסים (בדיקה),VH-18,16-981-24,Hyundai i10,27556,spark_plugs,1125.77,191.38,1317.15,INV-99441715_VH-18.pdf
INV-83096520,2024-10-29,מוסך המרכז (בדיקה),VH-19,18-494-58,Ford Transit,5877,routine,720.02,122.4,842.42,INV-83096520_VH-19.pdf
INV-99353875,2024-02-19,מוסך צי צפון (בדיקה),VH-19,18-494-58,Ford Transit,7538,routine,900.91,153.15,1054.06,INV-99353875_VH-19.pdf
INV-24825135,2023-07-05,מוסך העיר (בדיקה),VH-19,18-494-58,Ford Transit,8419,routine,711.21,120.91,832.12,INV-24825135_VH-19.pdf
INV-71709991,2024-01-16,עובד חלפים מקוריים (בדיקה),VH-19,18-494-58,Ford Transit,9895,routine,603.98,102.68,706.66,INV-71709991_VH-19.pdf
INV-02235697,2024-01-26,מוסך המרכז (בדיקה),VH-19,18-494-58,Ford Transit,11021,routine,724.75,123.21,847.96,INV-02235697_VH-19.pdf
INV-25007432,2024-05-14,יוסי צמיגים ופרונט (בדיקה),VH-19,18-494-58,Ford Transit,12553,routine,856.27,145.57,1001.84,INV-25007432_VH-19.pdf
INV-66676008,2023-05-13,יוסי צמיגים ופרונט (בדיקה),VH-19,18-494-58,Ford Transit,13844,routine,628.34,106.82,735.16,INV-66676008_VH-19.pdf
INV-03354216,2024-06-27,עובד חלפים מקוריים (בדיקה),VH-19,18-494-58,Ford Transit,14628,routine,496.45,84.4,580.85,INV-03354216_VH-19.pdf
INV-89856257,2023-11-02,יוסי צמיגים ופרונט (בדיקה),VH-19,18-494-58,Ford Transit,15946,routine,886.03,150.63,1036.66,INV-89856257_VH-19.pdf
INV-23098215,2023-08-22,יוסי צמיגים ופרונט (בדיקה),VH-19,18-494-58,Ford Transit,16982,tires,2498.42,424.73,2923.15,INV-23098215_VH-19.pdf
INV-10016761,2024-08-31,יוסי צמיגים ופרונט (בדיקה),VH-19,18-494-58,Ford Transit,18958,lights,445.95,75.81,521.76,INV-10016761_VH-19.pdf
INV-61849926,2024-10-07,יואב חשמל ופנסים (בדיקה),VH-19,18-494-58,Ford Transit,19731,spark_plugs,958.49,162.94,1121.43,INV-61849926_VH-19.pdf
INV-93483564,2023-04-27,עובד חלפים מקוריים (בדיקה),VH-20,80-981-11,Mazda 3,4504,routine,663.35,112.77,776.12,INV-93483564_VH-20.pdf
INV-01197218,2024-05-07,מוסך המרכז (בדיקה),VH-20,80-981-11,Mazda 3,6376,routine,857.41,145.76,1003.17,INV-01197218_VH-20.pdf
INV-44701204,2023-08-25,מוסך המרכז (בדיקה),VH-20,80-981-11,Mazda 3,9891,routine,722.63,122.85,845.48,INV-44701204_VH-20.pdf
INV-22557941,2023-04-08,יוסי צמיגים ופרונט (בדיקה),VH-20,80-981-11,Mazda 3,11273,routine,491.63,83.58,575.21,INV-22557941_VH-20.pdf
INV-76212021,2024-04-12,מוסך צי צפון (בדיקה),VH-20,80-981-11,Mazda 3,14455,routine,861.59,146.47,1008.06,INV-76212021_VH-20.pdf
INV-59027716,2024-03-24,מוסך המרכז (בדיקה),VH-20,80-981-11,Mazda 3,17148,routine,617.06,104.9,721.96,INV-59027716_VH-20.pdf
INV-99358891,2024-11-25,יוסי צמיגים ופרונט (בדיקה),VH-20,80-981-11,Mazda 3,20181,routine,903.25,153.55,1056.8,INV-99358891_VH-20.pdf
INV-89002877,2024-11-23,מוסך המרכז (בדיקה),VH-20,80-981-11,Mazda 3,22380,routine,936.46,159.2,1095.66,INV-89002877_VH-20.pdf
INV-86631779,2023-02-21,מוסך צי צפון (בדיקה),VH-20,80-981-11,Mazda 3,24845,tires,2841.06,482.98,3324.04,INV-86631779_VH-20.pdf
INV-08801994,2023-04-16,עובד חלפים מקוריים (בדיקה),VH-20,80-981-11,Mazda 3,27085,lights,518.48,88.14,606.62,INV-08801994_VH-20.pdf
INV-03758997,2023-12-16,יוסי צמיגים ופרונט (בדיקה),VH-20,80-981-11,Mazda 3,29238,spark_plugs,901.74,153.3,1055.04,INV-03758997_VH-20.pdf
INV-48851027,2023-08-16,מוסך המרכז (בדיקה),VH-21,92-448-24,Kia Niro,4476,routine,623.67,106.02,729.69,INV-48851027_VH-21.pdf
INV-16373516,2023-09-18,יוסי צמיגים ופרונט (בדיקה),VH-21,92-448-24,Kia Niro,6422,routine,935.79,159.08,1094.87,INV-16373516_VH-21.pdf
INV-82708086,2024-04-06,יוסי צמיגים ופרונט (בדיקה),VH-21,92-448-24,Kia Niro,9465,routine,809.58,137.63,947.21,INV-82708086_VH-21.pdf
INV-21699586,2024-08-15,יואב חשמל ופנסים (בדיקה),VH-21,92-448-24,Kia Niro,12679,routine,650.26,110.54,760.8,INV-21699586_VH-21.pdf
INV-47226984,2023-10-08,יואב חשמל ופנסים (בדיקה),VH-21,92-448-24,Kia Niro,16445,routine,743.43,126.38,869.81,INV-47226984_VH-21.pdf
INV-39452288,2024-07-20,מוסך המרכז (בדיקה),VH-21,92-448-24,Kia Niro,18442,routine,743.72,126.43,870.15,INV-39452288_VH-21.pdf
INV-68460810,2024-07-29,עובד חלפים מקוריים (בדיקה),VH-21,92-448-24,Kia Niro,21305,routine,561.35,95.43,656.78,INV-68460810_VH-21.pdf
INV-20438057,2023-06-14,עובד חלפים מקוריים (בדיקה),VH-21,92-448-24,Kia Niro,24407,routine,808.97,137.52,946.49,INV-20438057_VH-21.pdf
INV-84066658,2024-07-28,יואב חשמל ופנסים (בדיקה),VH-21,92-448-24,Kia Niro,26811,tires,1824.06,310.09,2134.15,INV-84066658_VH-21.pdf
INV-59893347,2024-03-29,מוסך העיר (בדיקה),VH-21,92-448-24,Kia Niro,30261,lights,339.51,57.72,397.23,INV-59893347_VH-21.pdf
INV-48422940,2024-01-22,יוסי צמיגים ופרונט (בדיקה),VH-21,92-448-24,Kia Niro,31839,spark_plugs,769.87,130.88,900.75,INV-48422940_VH-21.pdf
INV-94798515,2024-09-03,עובד חלפים מקוריים (בדיקה),VH-22,10-839-43,Ford Transit,6146,routine,641.36,109.03,750.39,INV-94798515_VH-22.pdf
INV-61533555,2023-06-13,מוסך העיר (בדיקה),VH-22,10-839-43,Ford Transit,8175,routine,796.2,135.35,931.55,INV-61533555_VH-22.pdf
INV-57399305,2024-07-28,מוסך צי צפון (בדיקה),VH-22,10-839-43,Ford Transit,9276,routine,722.62,122.85,845.47,INV-57399305_VH-22.pdf
INV-85887704,2024-07-07,עובד חלפים מקוריים (בדיקה),VH-22,10-839-43,Ford Transit,10853,routine,957.05,162.7,1119.75,INV-85887704_VH-22.pdf
INV-13361386,2023-06-21,יוסי צמיגים ופרונט (בדיקה),VH-22,10-839-43,Ford Transit,12865,routine,1071.01,182.07,1253.08,INV-13361386_VH-22.pdf
INV-01102481,2023-01-25,יואב חשמל ופנסים (בדיקה),VH-22,10-839-43,Ford Transit,15196,routine,669.99,113.9,783.89,INV-01102481_VH-22.pdf
INV-50618091,2024-04-06,מוסך צי צפון (בדיקה),VH-22,10-839-43,Ford Transit,16984,routine,1046.53,177.91,1224.44,INV-50618091_VH-22.pdf
INV-49147660,2024-01-02,יוסי צמיגים ופרונט (בדיקה),VH-22,10-839-43,Ford Transit,18254,routine,733.49,124.69,858.18,INV-49147660_VH-22.pdf
INV-24508821,2024-07-12,יואב חשמל ופנסים (בדיקה),VH-22,10-839-43,Ford Transit,19852,tires,1830.15,311.13,2141.28,INV-24508821_VH-22.pdf
INV-53682223,2023-08-04,יואב חשמל ופנסים (בדיקה),VH-22,10-839-43,Ford Transit,22238,lights,328.68,55.88,384.56,INV-53682223_VH-22.pdf
INV-87814141,2023-02-25,יוסי צמיגים ופרונט (בדיקה),VH-22,10-839-43,Ford Transit,24803,spark_plugs,900.5,153.09,1053.59,INV-87814141_VH-22.pdf
INV-49135775,2024-11-18,יואב חשמל ופנסים (בדיקה),VH-23,90-405-91,Ford Transit,2329,routine,956.97,162.68,1119.65,INV-49135775_VH-23.pdf
INV-62053364,2024-08-03,מוסך העיר (בדיקה),VH-23,90-405-91,Ford Transit,4760,routine,873.21,148.45,1021.66,INV-62053364_VH-23.pdf
INV-47812914,2024-04-18,מוסך צי צפון (בדיקה),VH-23,90-405-91,Ford Transit,6429,routine,806.12,137.04,943.16,INV-47812914_VH-23.pdf
INV-08099693,2024-10-03,עובד חלפים מקוריים (בדיקה),VH-23,90-405-91,Ford Transit,8723,routine,679.89,115.58,795.47,INV-08099693_VH-23.pdf
INV-56394278,2024-04-28,מוסך העיר (בדיקה),VH-23,90-405-91,Ford Transit,11098,routine,907.34,154.25,1061.59,INV-56394278_VH-23.pdf
INV-82722992,2023-09-02,מוסך המרכז (בדיקה),VH-23,90-405-91,Ford Transit,13319,routine,874.43,148.65,1023.08,INV-82722992_VH-23.pdf
INV-53038567,2024-05-14,יואב חשמל ופנסים (בדיקה),VH-23,90-405-91,Ford Transit,14486,routine,577.17,98.12,675.29,INV-53038567_VH-23.pdf
INV-84498926,2023-11-28,מוסך המרכז (בדיקה),VH-23,90-405-91,Ford Transit,16740,routine,661.57,112.47,774.04,INV-84498926_VH-23.pdf
INV-38655779,2024-06-13,יוסי צמיגים ופרונט (בדיקה),VH-23,90-405-91,Ford Transit,18439,routine,688.39,117.03,805.42,INV-38655779_VH-23.pdf
INV-22591365,2023-10-15,עובד חלפים מקוריים (בדיקה),VH-23,90-405-91,Ford Transit,19858,tires,2925.1,497.27,3422.37,INV-22591365_VH-23.pdf
INV-02992280,2024-02-25,יואב חשמל ופנסים (בדיקה),VH-23,90-405-91,Ford Transit,20956,lights,367.84,62.53,430.37,INV-02992280_VH-23.pdf
INV-90413797,2024-02-20,יוסי צמיגים ופרונט (בדיקה),VH-23,90-405-91,Ford Transit,23033,spark_plugs,1006.77,171.15,1177.92,INV-90413797_VH-23.pdf
INV-84257991,2024-08-19,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,2979,routine,472.5,80.33,552.83,INV-84257991_VH-24.pdf
INV-29127990,2024-06-19,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,4791,routine,1085.6,184.55,1270.15,INV-29127990_VH-24.pdf
INV-98068650,2024-05-08,יוסי צמיגים ופרונט (בדיקה),VH-24,57-880-30,Ford Transit,5836,routine,1144.56,194.58,1339.14,INV-98068650_VH-24.pdf
INV-91624731,2024-01-26,מוסך צי צפון (בדיקה),VH-24,57-880-30,Ford Transit,7516,routine,715.62,121.66,837.28,INV-91624731_VH-24.pdf
INV-09818063,2023-01-06,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,9410,routine,860.97,146.36,1007.33,INV-09818063_VH-24.pdf
INV-48695946,2024-03-12,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,11085,routine,1077.58,183.19,1260.77,INV-48695946_VH-24.pdf
INV-74495621,2023-07-03,מוסך צי צפון (בדיקה),VH-24,57-880-30,Ford Transit,12723,routine,863.77,146.84,1010.61,INV-74495621_VH-24.pdf
INV-58902601,2023-04-13,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,14291,routine,677.9,115.24,793.14,INV-58902601_VH-24.pdf
INV-19066984,2023-03-07,יוסי צמיגים ופרונט (בדיקה),VH-24,57-880-30,Ford Transit,15462,routine,954.95,162.34,1117.29,INV-19066984_VH-24.pdf
INV-38430988,2024-10-17,יואב חשמל ופנסים (בדיקה),VH-24,57-880-30,Ford Transit,16934,routine,856.19,145.55,1001.74,INV-38430988_VH-24.pdf
INV-46566938,2023-06-11,עובד חלפים מקוריים (בדיקה),VH-24,57-880-30,Ford Transit,17919,tires,1929.63,328.04,2257.67,INV-46566938_VH-24.pdf
INV-55439376,2024-07-26,עובד חלפים מקוריים (בדיקה),VH-24,57-880-30,Ford Transit,20050,lights,398.91,67.81,466.72,INV-55439376_VH-24.pdf
INV-51848947,2023-03-16,עובד חלפים מקוריים (בדיקה),VH-24,57-880-30,Ford Transit,21611,spark_plugs,1000.46,170.08,1170.54,INV-51848947_VH-24.pdf
INV-71416335,2024-04-16,מוסך המרכז (בדיקה),VH-25,51-600-12,Toyota Corolla,8164,routine,907.51,154.28,1061.79,INV-71416335_VH-25.pdf
INV-65182755,2023-09-27,מוסך המרכז (בדיקה),VH-25,51-600-12,Toyota Corolla,10163,routine,498.16,84.69,582.85,INV-65182755_VH-25.pdf
INV-33343333,2024-11-30,מוסך המרכז (בדיקה),VH-25,51-600-12,Toyota Corolla,12625,routine,716.84,121.86,838.7,INV-33343333_VH-25.pdf
INV-79080759,2023-03-22,יוסי צמיגים ופרונט (בדיקה),VH-25,51-600-12,Toyota Corolla,16088,routine,1086.95,184.78,1271.73,INV-79080759_VH-25.pdf
INV-84639208,2023-10-09,מוסך העיר (בדיקה),VH-25,51-600-12,Toyota Corolla,17858,routine,815.49,138.63,954.12,INV-84639208_VH-25.pdf
INV-27187500,2023-12-22,מוסך העיר (בדיקה),VH-25,51-600-12,Toyota Corolla,21112,routine,634.61,107.88,742.49,INV-27187500_VH-25.pdf
INV-43479552,2024-09-19,עובד חלפים מקוריים (בדיקה),VH-25,51-600-12,Toyota Corolla,22891,routine,817.61,138.99,956.6,INV-43479552_VH-25.pdf
INV-29293143,2024-01-09,עובד חלפים מקוריים (בדיקה),VH-25,51-600-12,Toyota Corolla,24873,routine,676.16,114.95,791.11,INV-29293143_VH-25.pdf
INV-26728857,2023-06-03,מוסך המרכז (בדיקה),VH-25,51-600-12,Toyota Corolla,28007,routine,759.53,129.12,888.65,INV-26728857_VH-25.pdf
INV-47175455,2023-03-03,עובד חלפים מקוריים (בדיקה),VH-25,51-600-12,Toyota Corolla,29848,tires,2670.23,453.94,3124.17,INV-47175455_VH-25.pdf
INV-39982455,2024-11-26,יואב חשמל ופנסים (בדיקה),VH-25,51-600-12,Toyota Corolla,33327,lights,491.46,83.55,575.01,INV-39982455_VH-25.pdf
INV-22569961,2023-10-21,עובד חלפים מקוריים (בדיקה),VH-25,51-600-12,Toyota Corolla,35712,spark_plugs,686.86,116.77,803.63,INV-22569961_VH-25.pdf
INV-75987622,2024-09-11,עובד חלפים מקוריים (בדיקה),VH-26,17-346-82,Toyota Corolla,3353,routine,813.46,138.29,951.75,INV-75987622_VH-26.pdf
INV-11178006,2023-03-23,עובד חלפים מקוריים (בדיקה),VH-26,17-346-82,Toyota Corolla,4433,routine,543.1,92.33,635.43,INV-11178006_VH-26.pdf
INV-64334722,2023-06-09,מוסך העיר (בדיקה),VH-26,17-346-82,Toyota Corolla,6179,routine,485.71,82.57,568.28,INV-64334722_VH-26.pdf
INV-84872829,2023-11-30,עובד חלפים מקוריים (בדיקה),VH-26,17-346-82,Toyota Corolla,7669,routine,829.11,140.95,970.06,INV-84872829_VH-26.pdf
INV-84578317,2024-03-21,מוסך העיר (בדיקה),VH-26,17-346-82,Toyota Corolla,9395,routine,713.45,121.29,834.74,INV-84578317_VH-26.pdf
INV-25478077,2023-01-01,יוסי צמיגים ופרונט (בדיקה),VH-26,17-346-82,Toyota Corolla,11360,routine,1038.26,176.5,1214.76,INV-25478077_VH-26.pdf
INV-36866326,2023-08-25,מוסך העיר (בדיקה),VH-26,17-346-82,Toyota Corolla,12961,routine,541.02,91.97,632.99,INV-36866326_VH-26.pdf
INV-94484631,2023-09-03,מוסך המרכז (בדיקה),VH-26,17-346-82,Toyota Corolla,14857,routine,920.72,156.52,1077.24,INV-94484631_VH-26.pdf
INV-73502080,2024-04-08,מוסך העיר (בדיקה),VH-26,17-346-82,Toyota Corolla,16666,routine,613.06,104.22,717.28,INV-73502080_VH-26.pdf
INV-12073564,2024-03-24,מוסך המרכז (בדיקה),VH-26,17-346-82,Toyota Corolla,17530,routine,888.2,150.99,1039.19,INV-12073564_VH-26.pdf
INV-20461872,2023-03-24,יוסי צמיגים ופרונט (בדיקה),VH-26,17-346-82,Toyota Corolla,19534,tires,1928.49,327.84,2256.33,INV-20461872_VH-26.pdf
INV-73037183,2023-09-12,עובד חלפים מקוריים (בדיקה),VH-26,17-346-82,Toyota Corolla,20912,lights,484.47,82.36,566.83,INV-73037183_VH-26.pdf
INV-88147435,2024-10-06,עובד חלפים מקוריים (בדיקה),VH-26,17-346-82,Toyota Corolla,22758,spark_plugs,764.0,129.88,893.88,INV-88147435_VH-26.pdf
INV-49163009,2023-11-29,מוסך צי צפון (בדיקה),VH-27,78-884-26,Hyundai i10,2416,routine,671.54,114.16,785.7,INV-49163009_VH-27.pdf
INV-19500528,2023-04-02,עובד חלפים מקוריים (בדיקה),VH-27,78-884-26,Hyundai i10,4244,routine,567.94,96.55,664.49,INV-19500528_VH-27.pdf
INV-73065240,2024-10-22,מוסך העיר (בדיקה),VH-27,78-884-26,Hyundai i10,7585,routine,680.91,115.75,796.66,INV-73065240_VH-27.pdf
INV-85574982,2024-05-16,מוסך המרכז (בדיקה),VH-27,78-884-26,Hyundai i10,10368,routine,483.35,82.17,565.52,INV-85574982_VH-27.pdf
INV-86209593,2024-07-08,עובד חלפים מקוריים (בדיקה),VH-27,78-884-26,Hyundai i10,12888,routine,881.25,149.81,1031.06,INV-86209593_VH-27.pdf
INV-82945651,2023-07-14,מוסך צי צפון (בדיקה),VH-27,78-884-26,Hyundai i10,15944,routine,642.44,109.21,751.65,INV-82945651_VH-27.pdf
INV-73109678,2023-07-02,יואב חשמל ופנסים (בדיקה),VH-27,78-884-26,Hyundai i10,17876,routine,523.66,89.02,612.68,INV-73109678_VH-27.pdf
INV-37170586,2024-09-12,יואב חשמל ופנסים (בדיקה),VH-27,78-884-26,Hyundai i10,19501,routine,757.77,128.82,886.59,INV-37170586_VH-27.pdf
INV-14138113,2023-09-30,מוסך העיר (בדיקה),VH-27,78-884-26,Hyundai i10,21055,routine,911.48,154.95,1066.43,INV-14138113_VH-27.pdf
INV-88619576,2024-08-06,יואב חשמל ופנסים (בדיקה),VH-27,78-884-26,Hyundai i10,24728,routine,793.54,134.9,928.44,INV-88619576_VH-27.pdf
INV-97558556,2023-06-11,יוסי צמיגים ופרונט (בדיקה),VH-27,78-884-26,Hyundai i10,27435,tires,2466.64,419.33,2885.97,INV-97558556_VH-27.pdf
INV-45776004,2024-07-17,יואב חשמל ופנסים (בדיקה),VH-27,78-884-26,Hyundai i10,31058,lights,544.82,92.62,637.44,INV-45776004_VH-27.pdf
